LL(1) SUCCESSFUL PARSE TRACE
------------------------------------------------------------------------------------------------------------------------------------------------------------------------
STEP | STACK (Top on Right)                                                                                                                         | LOOKAHEAD | ACTION
------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1    | ['$', 'Program']                                                                                                                             | INT       | Apply Program -> StmtList
2    | ['$', 'StmtList']                                                                                                                            | INT       | Apply StmtList -> Stmt StmtList
3    | ['$', 'StmtList', 'Stmt']                                                                                                                    | INT       | Apply Stmt -> Decl
4    | ['$', 'StmtList', 'Decl']                                                                                                                    | INT       | Apply Decl -> Type ID DeclTail
5    | ['$', 'StmtList', 'DeclTail', 'ID', 'Type']                                                                                                  | INT       | Apply Type -> INT
6    | ['$', 'StmtList', 'DeclTail', 'ID', 'INT']                                                                                                   | INT       | Match INT
7    | ['$', 'StmtList', 'DeclTail', 'ID']                                                                                                          | ID        | Match ID
8    | ['$', 'StmtList', 'DeclTail']                                                                                                                | SEMI      | Apply DeclTail -> SEMI
9    | ['$', 'StmtList', 'SEMI']                                                                                                                    | SEMI      | Match SEMI
10   | ['$', 'StmtList']                                                                                                                            | INT       | Apply StmtList -> Stmt StmtList
11   | ['$', 'StmtList', 'Stmt']                                                                                                                    | INT       | Apply Stmt -> Decl
12   | ['$', 'StmtList', 'Decl']                                                                                                                    | INT       | Apply Decl -> Type ID DeclTail
13   | ['$', 'StmtList', 'DeclTail', 'ID', 'Type']                                                                                                  | INT       | Apply Type -> INT
14   | ['$', 'StmtList', 'DeclTail', 'ID', 'INT']                                                                                                   | INT       | Match INT
15   | ['$', 'StmtList', 'DeclTail', 'ID']                                                                                                          | ID        | Match ID
16   | ['$', 'StmtList', 'DeclTail']                                                                                                                | SEMI      | Apply DeclTail -> SEMI
17   | ['$', 'StmtList', 'SEMI']                                                                                                                    | SEMI      | Match SEMI
18   | ['$', 'StmtList']                                                                                                                            | FLOAT     | Apply StmtList -> Stmt StmtList
19   | ['$', 'StmtList', 'Stmt']                                                                                                                    | FLOAT     | Apply Stmt -> Decl
20   | ['$', 'StmtList', 'Decl']                                                                                                                    | FLOAT     | Apply Decl -> Type ID DeclTail
21   | ['$', 'StmtList', 'DeclTail', 'ID', 'Type']                                                                                                  | FLOAT     | Apply Type -> FLOAT
22   | ['$', 'StmtList', 'DeclTail', 'ID', 'FLOAT']                                                                                                 | FLOAT     | Match FLOAT
23   | ['$', 'StmtList', 'DeclTail', 'ID']                                                                                                          | ID        | Match ID
24   | ['$', 'StmtList', 'DeclTail']                                                                                                                | SEMI      | Apply DeclTail -> SEMI
25   | ['$', 'StmtList', 'SEMI']                                                                                                                    | SEMI      | Match SEMI
26   | ['$', 'StmtList']                                                                                                                            | INT       | Apply StmtList -> Stmt StmtList
27   | ['$', 'StmtList', 'Stmt']                                                                                                                    | INT       | Apply Stmt -> Decl
28   | ['$', 'StmtList', 'Decl']                                                                                                                    | INT       | Apply Decl -> Type ID DeclTail
29   | ['$', 'StmtList', 'DeclTail', 'ID', 'Type']                                                                                                  | INT       | Apply Type -> INT
30   | ['$', 'StmtList', 'DeclTail', 'ID', 'INT']                                                                                                   | INT       | Match INT
31   | ['$', 'StmtList', 'DeclTail', 'ID']                                                                                                          | ID        | Match ID
32   | ['$', 'StmtList', 'DeclTail']                                                                                                                | SEMI      | Apply DeclTail -> SEMI
33   | ['$', 'StmtList', 'SEMI']                                                                                                                    | SEMI      | Match SEMI
34   | ['$', 'StmtList']                                                                                                                            | INT       | Apply StmtList -> Stmt StmtList
35   | ['$', 'StmtList', 'Stmt']                                                                                                                    | INT       | Apply Stmt -> Decl
36   | ['$', 'StmtList', 'Decl']                                                                                                                    | INT       | Apply Decl -> Type ID DeclTail
37   | ['$', 'StmtList', 'DeclTail', 'ID', 'Type']                                                                                                  | INT       | Apply Type -> INT
38   | ['$', 'StmtList', 'DeclTail', 'ID', 'INT']                                                                                                   | INT       | Match INT
39   | ['$', 'StmtList', 'DeclTail', 'ID']                                                                                                          | ID        | Match ID
40   | ['$', 'StmtList', 'DeclTail']                                                                                                                | SEMI      | Apply DeclTail -> SEMI
41   | ['$', 'StmtList', 'SEMI']                                                                                                                    | SEMI      | Match SEMI
42   | ['$', 'StmtList']                                                                                                                            | ID        | Apply StmtList -> Stmt StmtList
43   | ['$', 'StmtList', 'Stmt']                                                                                                                    | ID        | Apply Stmt -> AssignStmt
44   | ['$', 'StmtList', 'AssignStmt']                                                                                                              | ID        | Apply AssignStmt -> ID ASSIGN Expr SEMI
45   | ['$', 'StmtList', 'SEMI', 'Expr', 'ASSIGN', 'ID']                                                                                            | ID        | Match ID
46   | ['$', 'StmtList', 'SEMI', 'Expr', 'ASSIGN']                                                                                                  | ASSIGN    | Match ASSIGN
47   | ['$', 'StmtList', 'SEMI', 'Expr']                                                                                                            | FLOAT     | Apply Expr -> Term Expr'
48   | ['$', 'StmtList', 'SEMI', "Expr'", 'Term']                                                                                                   | FLOAT     | Apply Term -> Factor Term'
49   | ['$', 'StmtList', 'SEMI', "Expr'", "Term'", 'Factor']                                                                                        | FLOAT     | Apply Factor -> FLOAT
50   | ['$', 'StmtList', 'SEMI', "Expr'", "Term'", 'FLOAT']                                                                                         | FLOAT     | Match FLOAT
51   | ['$', 'StmtList', 'SEMI', "Expr'", "Term'"]                                                                                                  | SEMI      | Apply Term' -> ε
52   | ['$', 'StmtList', 'SEMI', "Expr'"]                                                                                                           | SEMI      | Apply Expr' -> ε
53   | ['$', 'StmtList', 'SEMI']                                                                                                                    | SEMI      | Match SEMI
54   | ['$', 'StmtList']                                                                                                                            | FLOAT     | Apply StmtList -> Stmt StmtList
55   | ['$', 'StmtList', 'Stmt']                                                                                                                    | FLOAT     | Apply Stmt -> Decl
56   | ['$', 'StmtList', 'Decl']                                                                                                                    | FLOAT     | Apply Decl -> Type ID DeclTail
57   | ['$', 'StmtList', 'DeclTail', 'ID', 'Type']                                                                                                  | FLOAT     | Apply Type -> FLOAT
58   | ['$', 'StmtList', 'DeclTail', 'ID', 'FLOAT']                                                                                                 | FLOAT     | Match FLOAT
