SLR(1) SUCCESSFUL PARSE TRACE
==================================================
Step 1 | Stack: [0] | Lookahead: INT | Action: s10
Step 2 | Stack: [0, 10] | Lookahead: ID | Action: r13
Step 3 | Stack: [0, 5] | Lookahead: ID | Action: s19
Step 4 | Stack: [0, 5, 19] | Lookahead: SEMI | Action: s26
Step 5 | Stack: [0, 5, 19, 26] | Lookahead: INT | Action: r12
Step 6 | Stack: [0, 5, 19, 28] | Lookahead: INT | Action: r10
Step 7 | Stack: [0, 6] | Lookahead: INT | Action: r4
Step 8 | Stack: [0, 17] | Lookahead: INT | Action: s10
Step 9 | Stack: [0, 17, 10] | Lookahead: ID | Action: r13
Step 10 | Stack: [0, 17, 5] | Lookahead: ID | Action: s19
Step 11 | Stack: [0, 17, 5, 19] | Lookahead: SEMI | Action: s26
Step 12 | Stack: [0, 17, 5, 19, 26] | Lookahead: INT | Action: r12
Step 13 | Stack: [0, 17, 5, 19, 28] | Lookahead: INT | Action: r10
Step 14 | Stack: [0, 17, 6] | Lookahead: INT | Action: r4
Step 15 | Stack: [0, 17, 17] | Lookahead: INT | Action: s10
Step 16 | Stack: [0, 17, 17, 10] | Lookahead: ID | Action: r13
Step 17 | Stack: [0, 17, 17, 5] | Lookahead: ID | Action: s19
Step 18 | Stack: [0, 17, 17, 5, 19] | Lookahead: SEMI | Action: s26
Step 19 | Stack: [0, 17, 17, 5, 19, 26] | Lookahead: FLOAT | Action: r12
Step 20 | Stack: [0, 17, 17, 5, 19, 28] | Lookahead: FLOAT | Action: r10
Step 21 | Stack: [0, 17, 17, 6] | Lookahead: FLOAT | Action: r4
Step 22 | Stack: [0, 17, 17, 17] | Lookahead: FLOAT | Action: s13
Step 23 | Stack: [0, 17, 17, 17, 13] | Lookahead: ID | Action: r14
Step 24 | Stack: [0, 17, 17, 17, 5] | Lookahead: ID | Action: s19
Step 25 | Stack: [0, 17, 17, 17, 5, 19] | Lookahead: SEMI | Action: s26
Step 26 | Stack: [0, 17, 17, 17, 5, 19, 26] | Lookahead: ID | Action: r12
Step 27 | Stack: [0, 17, 17, 17, 5, 19, 28] | Lookahead: ID | Action: r10
Step 28 | Stack: [0, 17, 17, 17, 6] | Lookahead: ID | Action: r4
Step 29 | Stack: [0, 17, 17, 17, 17] | Lookahead: ID | Action: s9
Step 30 | Stack: [0, 17, 17, 17, 17, 9] | Lookahead: ASSIGN | Action: s21
Step 31 | Stack: [0, 17, 17, 17, 17, 9, 21] | Lookahead: INT | Action: s36
Step 32 | Stack: [0, 17, 17, 17, 17, 9, 21, 36] | Lookahead: MULT | Action: r33
Step 33 | Stack: [0, 17, 17, 17, 17, 9, 21, 35] | Lookahead: MULT | Action: s62
Step 34 | Stack: [0, 17, 17, 17, 17, 9, 21, 35, 62] | Lookahead: LPAREN | Action: s42
Step 35 | Stack: [0, 17, 17, 17, 17, 9, 21, 35, 62, 42] | Lookahead: INT | Action: s36
Step 36 | Stack: [0, 17, 17, 17, 17, 9, 21, 35, 62, 42, 36] | Lookahead: PLUS | Action: r33
Step 37 | Stack: [0, 17, 17, 17, 17, 9, 21, 35, 62, 42, 35] | Lookahead: PLUS | Action: r30
Step 38 | Stack: [0, 17, 17, 17, 17, 9, 21, 35, 62, 42, 35, 59] | Lookahead: PLUS | Action: r26
Step 39 | Stack: [0, 17, 17, 17, 17, 9, 21, 35, 62, 42, 31] | Lookahead: PLUS | Action: s48
